station,valid,tmpf,relh,wd,ws,visibility
OBBI,1/1/16 0:00,64.4,93.88,70,3,3.11
OBBI,1/1/16 1:00,66.2,93.92,90,3,3.11
OBBI,1/1/16 2:00,66.2,93.92,100,7,2.49
OBBI,1/1/16 3:00,66.2,93.92,110,8,3.11
OBBI,1/1/16 4:00,68,88.26,130,5,6.21
OBBI,1/1/16 5:00,68,88.26,130,8,6.21
OBBI,1/1/16 6:00,69.8,82.98,130,9,6.21
OBBI,1/1/16 7:00,71.6,83.09,130,13,6.21
OBBI,1/1/16 8:00,75.2,73.61,140,12,6.21
OBBI,1/1/16 9:00,75.2,73.61,130,13,6.21
OBBI,1/1/16 10:00,77,69.33,140,13,6.21
OBBI,1/1/16 11:00,77,69.33,140,11,6.21
OBBI,1/1/16 12:00,78.8,57.6,140,7,6.21
OBBI,1/1/16 13:00,75.2,73.61,110,7,6.21
OBBI,1/1/16 14:00,75.2,64.91,120,6,6.21
OBBI,1/1/16 15:00,71.6,78.04,120,6,6.21
OBBI,1/1/16 16:00,71.6,78.04,130,10,6.21
OBBI,1/1/16 17:00,69.8,82.98,110,8,6.21
OBBI,1/1/16 18:00,69.8,88.34,110,8,6.21
OBBI,1/1/16 19:00,69.8,88.34,130,8,6.21
OBBI,1/1/16 20:00,69.8,88.34,90,3,4.97
OBBI,1/1/16 21:00,69.8,88.34,110,5,4.97
OBBI,1/1/16 22:00,69.8,88.34,120,6,4.97
OBBI,1/2/16 0:00,69.8,94.01,130,11,4.97
OBBI,1/2/16 1:00,69.8,88.34,140,4,3.73
OBBI,1/2/16 2:00,69.8,88.34,180,4,3.73
OBBI,1/2/16 3:00,68,93.97,290,6,3.11
OBBI,1/2/16 4:00,68,88.26,310,9,2.49
OBBI,1/2/16 5:00,69.8,82.98,330,9,3.11
OBBI,1/2/16 6:00,69.8,88.34,330,7,2.49
OBBI,1/2/16 7:00,69.8,88.34,360,14,3.11
OBBI,1/2/16 8:00,69.8,88.34,360,14,3.11
OBBI,1/2/16 9:00,69.8,82.98,10,15,3.73
OBBI,1/2/16 10:00,71.6,73.27,360,15,5.59
OBBI,1/2/16 11:00,71.6,73.27,360,16,6.21
OBBI,1/2/16 12:00,69.8,68.55,350,18,6.21
OBBI,1/2/16 13:00,69.8,73.09,350,16,6.21
OBBI,1/2/16 14:00,68,68.35,340,16,6.21
OBBI,1/2/16 15:00,68,64.04,350,15,6.21
OBBI,1/2/16 16:00,68,64.04,340,16,6.21
OBBI,1/2/16 17:00,68,59.97,340,17,6.21
OBBI,1/2/16 18:00,68,59.97,340,15,6.21
OBBI,1/2/16 19:00,66.2,72.74,330,18,6.21
OBBI,1/2/16 20:00,66.2,68.15,330,19,6.21
OBBI,1/2/16 21:00,66.2,68.15,330,18,6.21
OBBI,1/2/16 22:00,64.4,67.95,330,19,6.21
OBBI,1/2/16 23:00,64.4,72.56,330,20,6.21
OBBI,1/3/16 0:00,64.4,67.95,330,20,6.21
OBBI,1/3/16 1:00,64.4,67.95,320,19,6.21
OBBI,1/3/16 2:00,62.6,67.75,320,22,6.21
OBBI,1/3/16 3:00,62.6,63.38,320,23,6.21
OBBI,1/3/16 4:00,62.6,63.38,320,23,6.21
OBBI,1/3/16 5:00,62.6,63.38,320,25,6.21
OBBI,1/3/16 6:00,64.4,59.5,320,24,6.21
OBBI,1/3/16 7:00,62.6,59.26,320,25,6.21
OBBI,1/3/16 8:00,64.4,51.98,320,28,6.21
OBBI,1/3/16 9:00,62.6,51.72,320,27,6.21
OBBI,1/3/16 10:00,62.6,51.72,320,27,6.21
OBBI,1/3/16 11:00,62.6,48.28,320,26,6.21
OBBI,1/3/16 12:00,62.6,48.28,310,25,6.21
OBBI,1/3/16 13:00,60.8,51.45,320,25,6.21
OBBI,1/3/16 14:00,59,54.86,330,23,6.21
OBBI,1/3/16 15:00,59,54.86,320,23,6.21
OBBI,1/3/16 16:00,59,58.77,330,21,6.21
OBBI,1/3/16 17:00,59,58.77,320,24,6.21
OBBI,1/3/16 18:00,59,58.77,330,20,6.21
OBBI,1/3/16 19:00,59,58.77,320,22,6.21
OBBI,1/3/16 20:00,59,58.77,330,20,6.21
OBBI,1/3/16 21:00,59,62.92,330,20,6.21
OBBI,1/3/16 22:00,59,62.92,330,20,6.21
OBBI,1/3/16 23:00,59,58.77,340,19,6.21
OBBI,1/4/16 0:00,59,62.92,330,16,6.21
OBBI,1/4/16 1:00,59,62.92,330,16,6.21
OBBI,1/4/16 2:00,59,62.92,330,18,6.21
OBBI,1/4/16 3:00,59,62.92,330,17,6.21
OBBI,1/4/16 4:00,59,67.33,320,17,6.21
OBBI,1/4/16 5:00,60.8,63.15,320,16,6.21
OBBI,1/4/16 6:00,60.8,72.2,310,16,6.21
OBBI,1/4/16 7:00,64.4,59.5,320,17,6.21
OBBI,1/4/16 8:00,64.4,55.63,320,19,6.21
OBBI,1/4/16 9:00,64.4,59.5,310,19,6.21
OBBI,1/4/16 10:00,64.4,59.5,310,20,6.21
OBBI,1/4/16 11:00,64.4,59.5,320,18,6.21
OBBI,1/4/16 12:00,64.4,59.5,320,17,6.21
OBBI,1/4/16 13:00,64.4,59.5,310,17,6.21
OBBI,1/4/16 14:00,62.6,63.38,320,15,6.21
OBBI,1/4/16 15:00,62.6,67.75,320,14,6.21
OBBI,1/4/16 16:00,62.6,67.75,330,13,6.21
OBBI,1/4/16 17:00,62.6,67.75,330,10,6.21
OBBI,1/4/16 18:00,62.6,67.75,310,9,6.21
OBBI,1/4/16 19:00,60.8,72.2,310,9,6.21
OBBI,1/4/16 20:00,60.8,72.2,320,8,6.21
OBBI,1/4/16 21:00,59,82.25,290,9,6.21
OBBI,1/4/16 22:00,59,76.98,280,8,6.21
OBBI,1/4/16 23:00,59,82.25,280,8,6.21
OBBI,1/5/16 0:00,59,82.25,280,8,6.21
OBBI,1/5/16 1:00,59,82.25,290,7,6.21
OBBI,1/5/16 2:00,60.8,77.14,290,9,6.21
OBBI,1/5/16 3:00,60.8,82.37,280,7,6.21
OBBI,1/5/16 4:00,60.8,77.14,290,7,6.21
OBBI,1/5/16 5:00,60.8,82.37,290,9,5.59
OBBI,1/5/16 6:00,62.6,77.29,280,9,5.59
OBBI,1/5/16 7:00,62.6,77.29,300,10,5.59
OBBI,1/5/16 8:00,64.4,77.45,270,9,5.59
OBBI,1/5/16 9:00,64.4,72.56,280,8,4.35
OBBI,1/5/16 10:00,66.2,68.15,280,8,4.35
OBBI,1/5/16 11:00,66.2,68.15,300,10,4.35
