"","Year","Month","Day","Hour","AQI","RawConc","date","YearName","Month_Name"
"1",2018,1,1,1,191,107,2018-01-01 01:00:00,"2018","January"
"2",2018,1,1,2,184,106,2018-01-01 02:00:00,"2018","January"
"3",2018,1,1,3,177,93,2018-01-01 03:00:00,"2018","January"
"4",2018,1,1,4,191,161,2018-01-01 04:00:00,"2018","January"
"5",2018,1,1,5,193,142,2018-01-01 05:00:00,"2018","January"
"6",2018,1,1,6,189,121,2018-01-01 06:00:00,"2018","January"
"7",2018,1,1,7,180,93,2018-01-01 07:00:00,"2018","January"
"8",2018,1,1,8,171,76,2018-01-01 08:00:00,"2018","January"
"9",2018,1,1,9,165,71,2018-01-01 09:00:00,"2018","January"
"10",2018,1,1,10,169,100,2018-01-01 10:00:00,"2018","January"
"11",2018,1,1,11,173,105,2018-01-01 11:00:00,"2018","January"
"12",2018,1,1,12,171,90,2018-01-01 12:00:00,"2018","January"
"13",2018,1,1,13,168,82,2018-01-01 13:00:00,"2018","January"
"14",2018,1,1,14,164,75,2018-01-01 14:00:00,"2018","January"
"15",2018,1,1,15,167,92,2018-01-01 15:00:00,"2018","January"
"16",2018,1,1,16,168,91,2018-01-01 16:00:00,"2018","January"
"17",2018,1,1,17,168,88,2018-01-01 17:00:00,"2018","January"
"18",2018,1,1,18,167,83,2018-01-01 18:00:00,"2018","January"
"19",2018,1,1,19,168,92,2018-01-01 19:00:00,"2018","January"
"20",2018,1,1,20,167,82,2018-01-01 20:00:00,"2018","January"
"21",2018,1,1,21,166,77,2018-01-01 21:00:00,"2018","January"
"22",2018,1,1,22,166,87,2018-01-01 22:00:00,"2018","January"
"23",2018,1,1,23,169,106,2018-01-01 23:00:00,"2018","January"
"24",2018,1,2,0,171,104,2018-01-02 00:00:00,"2018","January"
"25",2018,1,2,1,166,66,2018-01-02 01:00:00,"2018","January"
"26",2018,1,2,2,157,53,2018-01-02 02:00:00,"2018","January"
"27",2018,1,2,3,159,73,2018-01-02 03:00:00,"2018","January"
"28",2018,1,2,4,165,94,2018-01-02 04:00:00,"2018","January"
"29",2018,1,2,5,160,63,2018-01-02 05:00:00,"2018","January"
"30",2018,1,2,6,158,65,2018-01-02 06:00:00,"2018","January"
"31",2018,1,2,7,158,68,2018-01-02 07:00:00,"2018","January"
"32",2018,1,2,8,157,67,2018-01-02 08:00:00,"2018","January"
"33",2018,1,2,9,165,97,2018-01-02 09:00:00,"2018","January"
"34",2018,1,2,10,189,175,2018-01-02 10:00:00,"2018","January"
"35",2018,1,2,11,228,226,2018-01-02 11:00:00,"2018","January"
"36",2018,1,2,12,218,159,2018-01-02 12:00:00,"2018","January"
"37",2018,1,2,13,203,136,2018-01-02 13:00:00,"2018","January"
"38",2018,1,2,14,185,92,2018-01-02 14:00:00,"2018","January"
"39",2018,1,2,15,170,62,2018-01-02 15:00:00,"2018","January"
"40",2018,1,2,16,160,52,2018-01-02 16:00:00,"2018","January"
"41",2018,1,2,17,155,53,2018-01-02 17:00:00,"2018","January"
"42",2018,1,2,18,154,59,2018-01-02 18:00:00,"2018","January"
"43",2018,1,2,19,157,73,2018-01-02 19:00:00,"2018","January"
"44",2018,1,2,20,156,65,2018-01-02 20:00:00,"2018","January"
"45",2018,1,2,21,155,60,2018-01-02 21:00:00,"2018","January"
"46",2018,1,2,22,156,68,2018-01-02 22:00:00,"2018","January"
"47",2018,1,2,23,154,56,2018-01-02 23:00:00,"2018","January"
"48",2018,1,3,0,145,46,2018-01-03 00:00:00,"2018","January"
"49",2018,1,3,1,137,47,2018-01-03 01:00:00,"2018","January"
"50",2018,1,3,2,142,52,2018-01-03 02:00:00,"2018","January"
"51",2018,1,3,3,142,52,2018-01-03 03:00:00,"2018","January"
"52",2018,1,3,4,142,52,2018-01-03 04:00:00,"2018","January"
"53",2018,1,3,5,139,49,2018-01-03 05:00:00,"2018","January"
"54",2018,1,3,6,132,44,2018-01-03 06:00:00,"2018","January"
"55",2018,1,3,7,111,32,2018-01-03 07:00:00,"2018","January"
"56",2018,1,3,8,104,34,2018-01-03 08:00:00,"2018","January"
"57",2018,1,3,9,102,35,2018-01-03 09:00:00,"2018","January"
"58",2018,1,3,10,109,42,2018-01-03 10:00:00,"2018","January"
"59",2018,1,3,11,110,39,2018-01-03 11:00:00,"2018","January"
"60",2018,1,3,12,106,35,2018-01-03 12:00:00,"2018","January"
"61",2018,1,3,13,106,38,2018-01-03 13:00:00,"2018","January"
"62",2018,1,3,14,99,31,2018-01-03 14:00:00,"2018","January"
"63",2018,1,3,15,99,35,2018-01-03 15:00:00,"2018","January"
"64",2018,1,3,16,103,39,2018-01-03 16:00:00,"2018","January"
"65",2018,1,3,17,102,35,2018-01-03 17:00:00,"2018","January"
"66",2018,1,3,18,95,28,2018-01-03 18:00:00,"2018","January"
"67",2018,1,3,19,92,29,2018-01-03 19:00:00,"2018","January"
"68",2018,1,3,20,88,27,2018-01-03 20:00:00,"2018","January"
"69",2018,1,3,21,88,29,2018-01-03 21:00:00,"2018","January"
"70",2018,1,3,22,83,24,2018-01-03 22:00:00,"2018","January"
"71",2018,1,3,23,73,19,2018-01-03 23:00:00,"2018","January"
"72",2018,1,4,0,81,30,2018-01-04 00:00:00,"2018","January"
"73",2018,1,4,1,84,29,2018-01-04 01:00:00,"2018","January"
"74",2018,1,4,2,89,33,2018-01-04 02:00:00,"2018","January"
"75",2018,1,4,3,94,35,2018-01-04 03:00:00,"2018","January"
